"","Pop","Latitude","Longitude","Distance","MAT","MSP","CMD","RH","MAT_Distance","MSP_Distance","CMD_Distance","RH_Distance","Fruit_no_damage","Seeds","Flowering_Date","Leaf_Toughness","Water_Content","Growth_Rate","Bolt_Date","SLA","Num_Trichomes","Leaf_Herb_Sept","bug","Hight","S.florida","M.brevivatella","Tissue","Leaf_Totphe","Leaf_pH_10","Flower_Totphe","Flower_pH_10","Fruit_Totphe","Fruit_pH_10","Leaf_Oenothein_B","Leaf_Oenothein_A","Flower_Oenothein_B","Flower_Oenothein_A","Fruit_Oenothein_B","Fruit_Oenothein_A"
"53",714,34.503701,-93.055176,1570,16.4,580,255,59,8.5,124,134,-10,7.33333333333333,1246.66666666667,258,125,73.5686612833333,0.120411998,167.5,60.6171566233333,91.6666666666667,0.771428571333333,0,90,0,0,"Leaf",81.08380706,15.37687302,51.04879337,12.69979643,158.6936264,45.48058572,0.505329231,29.79003846,2.092908358,12.97820771,3.629279388,122.0607168
"54",715,35.491971,-90.358101,1323,16,482,316,63,8.1,26,195,-6,113.75,23935.25,245.25,143.333333333333,76.81297951,0.1121566545,134.75,55.7279382025,116.25,1.375,9.75,129.5,0,0,"Leaf",105.1850966,24.19565986,53.94877327,12.05605158,161.3402563,40.09006531,0.766238764,34.3881716,5.190335644,11.22195421,10.32903883,117.7679057
"55",716,36.974115,-122.030792,3643,13.5,32,691,61,5.6,-424,570,-8,33.14,5834.5,192,128.75,76.5108578525,0.086007965,135,50.936015205,132,2.16875,6.5,80.5,7.5,4,"Leaf",93.00973033,28.34804302,NA,NA,139.5595151,36.58491041,81.28143415,8.706634615,NA,NA,99.61641826,11.96161865
"56",717,37.350831,-107.856895,2491,7.9,224,653,45,0,-232,532,-24,30.368,3727.6,202.25,99,72.11741011,0.102066717,132,57.873182764,119,3.38,7.4,62,10.75,3,"Leaf",86.64745158,22.19088124,NA,NA,125.5881585,36.31393388,64.67248495,6.573824636,NA,NA,78.11897241,15.3318407
"57",718,47.677676,-116.780602,2892,8.4,191,475,61,0.5,-265,354,-8,20.515,3649.75,185,111.25,72.9137196925,0.09737693175,133.5,47.83868184,149.25,1.05,13.75,66,1.5,8.25,"Leaf",80.60736977,20.25113419,38.25601057,8.727618316,72.50754346,10.06192788,58.06742241,4.843586128,18.8296472,2.820157908,26.28931,2.971912053
"58",719,45.173222,-113.901314,2710,7,135,726,49,-0.9,-321,605,-20,12.172,1655.6,192.2,126,77.804215938,0.0955022658,132.2,60.367551576,129.4,1.16,10.4,63,1.5,5.75,"Leaf",75.0238256,19.64327846,52.41624796,12.76924245,69.84041232,15.60988249,51.3663229,3.794094518,36.4798793,4.255130615,43.27003083,4.23381278
"59",720,38.52005,-89.983994,1066,12.9,462,270,63,5,6,149,-6,117.55,29749.5,236.5,107.5,78.690317245,NA,196,69.53921296,115.5,2.15,7,190,1.5,2.5,"Leaf",69.16725962,16.8831411,49.71566849,10.89659431,110.4943766,26.66765787,23.0287037,12.89864166,22.66923508,4.702994753,55.01011541,21.50684416
"60",723,39.725328,-89.91066,983,11.7,479,230,62,3.8,23,109,-7,153.948,36320.8,233.8,102,73.554476458,0.1113158414,130,55.886060302,125.8,1.84,14.6,130,24.6,1.4,"Leaf",79.89384307,14.78930684,48.39069657,8.57135573,154.414756,42.0964832,0.419504235,18.85524235,1.57894862,11.7664137,4.469714727,94.13171938
"61",724,39.165325,-86.526382,793,11.9,523,196,61,4,67,75,-8,0.666666666666667,0,260.333333333333,78.3333333333333,73.0185957666667,0.0804047033333333,149.333333333333,55.5137181966667,171,1.35,6.33333333333333,72.6666666666667,0,0,"Leaf",92.60018038,13.68536364,101.2323717,20.82990818,NA,NA,0.603858299,63.37234343,4.809703012,50.97139056,NA,NA
"62",725,41.4942,-87.521706,711,9.9,492,162,65,2,36,41,-4,51.6,32402.2,226.6,108,72.16040279,0.0898734088,132.6,38.24140957,100.8,1.34,9.4,93.4,1.2,0,"Leaf",102.9421753,29.7821923,66.30130118,10.59933948,142.3953875,42.10961254,1.956527679,38.57759301,5.285606834,22.57552889,3.078093611,88.31359955
