Pop,Distance,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
770,513,39.96173,-82.491264,290,10.5,22.6,-3.1,25.8,1023,503,20,45,331,2818,3177,455,201,124,282,158,60,-29.4,39.1,960,210,13.1,59
771,483,39.993684,-81.734016,284,10.7,22.6,-2.7,25.3,958,470,21.6,48.1,302,2853,3104,460,204,123,283,160,49,-28.9,38.9,959,249,13.1,60
772,3336,45.573164,-122.156479,7,11.2,18.9,3.2,15.7,1851,349,11.5,54.2,85,2480,2650,194,307,92,317,225,51,-17,38.1,853,257,13.2,67
773,3377,45.523432,-122.676208,10,12,19.6,4.4,15.2,1087,192,20.2,102,64,2700,2420,248,320,78,324,246,21,-14.5,38.5,871,423,12.2,67
774,547,39.725828,-76.328781,149,11.3,23.4,-1.6,25.1,1062,484,20,48.5,250,2978,2966,524,215,118,290,172,45,-27.3,38.7,932,187,13.8,64
775,298,41.733124,-77.64193,546,7.3,19.5,-5.9,25.5,1049,494,16.5,39.6,601,2087,4058,188,168,138,273,135,165,-32.4,36.1,828,133,12.6,60
776,300,41.997863,-77.125137,373,8,20.5,-5.3,25.8,842,425,21.4,48.3,534,2255,3855,251,170,136,273,137,100,-31.9,37.4,871,249,12.4,58
777,300,41.997863,-77.125137,373,8,20.5,-5.3,25.8,842,425,21.4,48.3,534,2255,3855,251,170,136,273,137,100,-31.9,37.4,871,249,12.4,58
778,286,41.469147,-79.123497,527,7.4,19.5,-6,25.4,1143,552,15.2,35.3,589,2088,4032,183,166,139,272,133,170,-32.3,36,843,98,12.6,59
779,286,41.469147,-79.123497,527,7.4,19.5,-6,25.4,1143,552,15.2,35.3,589,2088,4032,183,166,139,272,133,170,-32.3,36,843,98,12.6,59
780,1113,35.045631,-85.309685,222,14.9,25.3,3.4,21.9,1370,524,18.2,48.2,72,3897,1962,868,252,104,298,195,8,-22.7,39.9,1228,257,15,61
781,1114,35.240081,-85.839699,575,13.4,23.3,1.5,21.8,1538,601,15.2,38.8,111,3450,2293,628,241,108,299,191,18,-23.9,37.7,1094,95,15.5,65
782,543,44.33782,-72.756264,265,5.6,19.4,-9.3,28.7,1078,524,14.5,36.9,920,1887,4638,154,158,141,268,127,263,-36.6,36,722,82,12.9,59
783,782,37.33,-76.669998,28,14.7,25.4,3.1,22.2,1177,557,20.9,45.5,79,3827,2041,852,252,104,303,199,7,-22.8,39.6,1138,204,14.5,63
784,672,38.029306,-78.476677,139,13.4,24.4,1.4,23,1104,531,21.2,46,122,3476,2365,699,227,112,293,181,11,-25.3,39.4,1126,230,14.3,60
785,754,37.514904,-76.984833,33,14.3,25.2,2.7,22.6,1106,514,22,49.1,90,3745,2128,824,244,106,300,193,8,-23.5,39.7,1145,253,14.8,62
786,786,37.540725,-77.43605,54,13.9,24.9,2.2,22.8,1076,494,22.2,50.5,101,3629,2229,773,232,109,295,186,9,-24.4,39.5,1141,271,14.9,61
787,608,38.713452,-77.795273,179,12.5,24,.1,23.9,1066,495,21.1,48.5,166,3261,2608,625,221,116,291,176,20,-26.3,39.4,1080,237,14.3,61
788,3453,46.889947,-124.104134,3,9.8,14.8,4.7,10.1,1898,318,10.4,46.7,70,1906,3022,52,312,89,316,228,42,-14.5,32.7,651,133,11,73
789,3373,45.904559,-122.743988,10,11.4,19,3.9,15.1,1037,203,20.7,93.7,73,2521,2577,197,307,95,314,219,23,-15.8,38.9,881,419,11.8,65
790,582,38.791397,-79.441299,749,9.3,20,-2.5,22.6,962,452,20,44.3,322,2397,3401,249,181,132,276,144,56,-30.3,36,916,224,14.2,58
791,933,46.592443,-90.883797,183,4.9,19.6,-11.2,30.8,776,459,19.1,42.6,1082,1814,4908,151,149,148,269,121,148,-37.9,37.4,699,145,12,58
792,761,42.928896,-88.837051,243,8.2,22.4,-7.8,30.3,822,458,22.1,49,698,2510,3922,384,189,128,280,152,96,-34.1,39.6,852,202,13.1,61
798,933,46.592441,-90.883789,183,4.9,19.6,-11.2,30.8,776,459,19.1,42.6,1082,1814,4908,151,149,148,269,121,148,-37.9,37.4,699,145,12,58
803,1722,30.39604,-88.885307,7,19.8,27.6,10.3,17.2,1548,718,19.2,38.4,11,5414,872,1534,358,42,340,297,0,-11.8,39.2,1279,106,16.3,71
806,793,39.165485,-86.52668,239,11.9,24.4,-1.9,26.3,1116,523,19.7,46.6,254,3213,2842,647,218,115,290,175,42,-28,40.2,1006,196,14.3,61
824,1041,36.865762,-87.488556,170,14.2,25.6,1.4,24.2,1291,499,18.7,51.2,116,3742,2238,864,232,108,294,186,15,-24.9,41.3,1200,289,14.8,60
825,1130,41.878002,-93.097702,288,9.1,23.8,-7.5,31.3,859,531,22.3,44.8,640,2765,3701,501,199,120,282,162,66,-33.8,40.7,890,151,13.8,60
831,483,39.993684,-81.734016,284,10.7,22.6,-2.7,25.3,958,470,21.6,48.1,302,2853,3104,460,204,123,283,160,49,-28.9,38.9,959,249,13.1,60
837,1086,37.083389,-88.600044,99,14.1,26.1,.6,25.5,1219,491,19.8,53.2,133,3774,2279,902,240,105,297,192,17,-24.8,41.5,1148,262,14.9,63
851,1356,46.137636,-62.551315,19,5.9,18.8,-6.3,25.1,1111,422,14.3,44.5,698,1751,4497,124,174,140,277,137,283,-31.3,33.9,588,87,12.2,70
864,430,45.412512,-84.612534,195,6.2,19.8,-7.7,27.5,775,390,20.9,50.8,815,1972,4444,179,162,144,272,128,159,-33.7,37,758,264,12.4,58
880,1062,48.182659,-67.148071,178,2.5,17,-13.1,30.1,1011,465,12.4,36.6,1370,1347,5661,52,130,154,258,104,397,-39.8,34.1,586,70,11.9,60
888,544,44.33782,-72.756264,265,5.6,19.4,-9.3,28.7,1078,524,14.5,36.9,920,1887,4638,154,158,141,268,127,263,-36.6,36,722,82,12.9,59
890,841,36.615425,-81.600121,1317,9.1,18.6,-1.3,20,1362,610,14,30.5,255,2234,3383,164,195,127,279,151,60,-28.4,33,861,17,17.3,64
891,950,35.696051,-82.065384,407,14.3,24.2,3.4,20.8,1334,581,18.2,41.7,74,3683,2051,727,233,110,294,184,6,-24,39,1240,209,15.1,57
892,135,42.963947,-78.737808,209,8.7,21.7,-4.7,26.3,978,443,19.1,48.9,477,2419,3683,325,194,125,285,160,116,-29.2,36.5,747,135,12.6,69
893,499,45.504651,-73.597115,72,6,20.4,-10,30.4,920,437,17.4,46.6,943,2032,4564,211,168,136,273,137,227,-36.7,36.9,699,147,12.7,61
908,1168,42.02335,-93.625626,277,9.2,23.7,-7.5,31.2,845,532,22.7,44.6,637,2763,3694,497,198,120,282,162,61,-33.9,40.5,887,145,13.7,60
914,569,44.355899,-72.446144,347,4.8,18.7,-10.3,28.9,1036,506,14.3,36.9,1026,1748,4883,118,150,145,265,120,271,-37.9,35.7,716,86,12.5,57
915,511,44.466992,-73.170837,85,6.7,20.8,-8.7,29.5,895,453,18.6,46,824,2144,4340,247,175,133,276,143,173,-35,37,709,130,12.5,63
