Pop,Turku_ID,Tissue,Oenothein_B ,Oenothein_A
23,141205 Daniel Ob Fruit 184,Fruit,10.27878462,40.77050528
778,141205 Daniel Ob Fruit 186,Fruit,62.26116618,5.33779902
762,141205 Daniel Ob Fruit 188,Fruit,80.55927086,69.25515853
712,141205 Daniel Ob Fruit 190,Fruit,87.44429114,11.51540374
737,141205 Daniel Ob Fruit 192,Fruit,4.104669904,44.32466281
730,141205 Daniel Ob Fruit 194,Fruit,1.357436406,22.85623272
713,141205 Daniel Ob Fruit 196,Fruit,8.422436341,111.9931918
8,141209 Daniel Ob Fruit 574,Fruit,40.24907122,4.413968293
9,141209 Daniel Ob Fruit 575,Fruit,49.01163778,13.16054629
22,141209 Daniel Ob Fruit 576,Fruit,5.649726935,84.0540691
182,141209 Daniel Ob Fruit 577,Fruit,20.72091847,117.1954809
183,141209 Daniel Ob Fruit 578,Fruit,64.75974234,12.35840122
411,141209 Daniel Ob Fruit 579,Fruit,85.59367726,17.55634162
442,141209 Daniel Ob Fruit 580,Fruit,11.20790853,77.05334932
465,141209 Daniel Ob Fruit 581,Fruit,14.6282808,106.1241964
501,141209 Daniel Ob Fruit 582,Fruit,5.019257383,118.7129659
514,141209 Daniel Ob Fruit 583,Fruit,52.0876065,21.06299878
515,141209 Daniel Ob Fruit 584,Fruit,6.783193722,137.5177217
516,141209 Daniel Ob Fruit 585,Fruit,5.287499096,93.54702662
518,141209 Daniel Ob Fruit 586,Fruit,66.64991528,12.5843042
570,141209 Daniel Ob Fruit 587,Fruit,41.97337024,3.379536585
571,141209 Daniel Ob Fruit 588,Fruit,20.36478667,1.681070171
572,141209 Daniel Ob Fruit 589,Fruit,60.60236411,3.639864599
573,141209 Daniel Ob Fruit 590,Fruit,56.13873783,6.602943548
574,141209 Daniel Ob Fruit 591,Fruit,51.95891636,48.27139814
658,141209 Daniel Ob Fruit 592,Fruit,41.68691356,15.71340909
659,141209 Daniel Ob Fruit 593,Fruit,4.796717479,38.65303742
676,141209 Daniel Ob Fruit 594,Fruit,4.111953217,120.2470773
688,141209 Daniel Ob Fruit 595,Fruit,102.9541491,23.64041829
689,141209 Daniel Ob Fruit 596,Fruit,40.80440711,3.552152846
690,141209 Daniel Ob Fruit 597,Fruit,110.6316968,16.72494968
691,141209 Daniel Ob Fruit 598,Fruit,50.32139895,2.945108587
692,141209 Daniel Ob Fruit 599,Fruit,65.06108169,9.32896117
693,141209 Daniel Ob Fruit 600,Fruit,87.38782268,6.767312658
694,141209 Daniel Ob Fruit 601,Fruit,21.5263784,1.098742604
695,141210 Daniel Ob Fruit 602,Fruit,48.03540299,3.843394724
696,141210 Daniel Ob Fruit 603,Fruit,41.74856978,4.528221271
697,141210 Daniel Ob Fruit 604,Fruit,38.80693727,13.49704169
698,141210 Daniel Ob Fruit 605,Fruit,37.71051152,4.495261137
699,141210 Daniel Ob Fruit 606,Fruit,43.55714658,4.765472002
700,141210 Daniel Ob Fruit 607,Fruit,24.9069622,2.3630094
701,141210 Daniel Ob Fruit 608,Fruit,51.78025075,10.66615547
702,141210 Daniel Ob Fruit 609,Fruit,37.34627637,3.494124815
703,141210 Daniel Ob Fruit 610,Fruit,81.84635877,16.68665157
704,141210 Daniel Ob Fruit 611,Fruit,83.76369715,20.87007013
706,141210 Daniel Ob Fruit 612,Fruit,56.38421007,7.391533719
708,141210 Daniel Ob Fruit 613,Fruit,63.63315994,7.250095729
709,141210 Daniel Ob Fruit 614,Fruit,72.10232955,13.0635925
714,141210 Daniel Ob Fruit 615,Fruit,3.629279388,122.0607168
715,141210 Daniel Ob Fruit 616,Fruit,10.32903883,117.7679057
716,141210 Daniel Ob Fruit 617,Fruit,99.61641826,11.96161865
717,141210 Daniel Ob Fruit 618,Fruit,78.11897241,15.3318407
718,141210 Daniel Ob Fruit 619,Fruit,26.28931,2.971912053
719,141210 Daniel Ob Fruit 620,Fruit,43.27003083,4.23381278
720,141210 Daniel Ob Fruit 621,Fruit,55.01011541,21.50684416
723,141210 Daniel Ob Fruit 622,Fruit,4.469714727,94.13171938
725,141210 Daniel Ob Fruit 623,Fruit,3.078093611,88.31359955
726,141210 Daniel Ob Fruit 624,Fruit,2.06288218,68.50797374
727,141210 Daniel Ob Fruit 625,Fruit,5.610176996,62.61782226
728,141210 Daniel Ob Fruit 626,Fruit,44.2876431,11.3392479
729,141210 Daniel Ob Fruit 627,Fruit,44.3863057,10.01016507
731,141210 Daniel Ob Fruit 628,Fruit,3.397943885,43.12308757
732,141210 Daniel Ob Fruit 629,Fruit,5.765107029,102.7863771
734,141210 Daniel Ob Fruit 630,Fruit,35.04659143,8.803696742
735,141210 Daniel Ob Fruit 631,Fruit,51.37633805,35.13655605
738,141210 Daniel Ob Fruit 632,Fruit,2.215775749,77.52216317
739,141210 Daniel Ob Fruit 633,Fruit,8.429601036,108.833538
740,141210 Daniel Ob Fruit 634,Fruit,5.524793102,57.00032412
741,141210 Daniel Ob Fruit 635,Fruit,71.88962751,8.6432643
742,141210 Daniel Ob Fruit 636,Fruit,72.31790707,14.01735088
743,141210 Daniel Ob Fruit 637,Fruit,3.900033563,82.44328364
744,141210 Daniel Ob Fruit 638,Fruit,38.34093451,4.995846614
745,141210 Daniel Ob Fruit 639,Fruit,43.67356204,8.61925636
746,141210 Daniel Ob Fruit 640,Fruit,4.792986451,110.4232732
