Plant ID,Pop,Block,X,Flowering_Date,Flower_Number ,Leaf_Toughness,Water_Content,Growth_Rate,Bolt_Date,SLA,Above_mass,Below_mass,Num_Trichomes,Leaf_Herb_Sept,bug,Hight,Leaf_herb_July,S.florida,M.brevivatella ,Fruit,l1,l2,l3,l4,l5,d1,d2,d3,d4,d5
87,573,5,,205,19,125,73.63636364,0.069897,138,48.99551856,3.1,0.1,125,0.7,3,54,0.1,4,0,13,23.5,21.5,20,19.5,11,3.9,4,4,4.1,2
88,574,1,2,220,18,80,72.99412916,0.065321251,133,71.39983295,23.1,1.7,67,2.7,11,103,2.4,4,0,36,31.52,32.08,27.23,31.7,32.18,5.97,5.53,5.46,5.31,6.1
89,574,2,1,218,20,130,79.3487575,,,47.91935098,21.1,2.5,117,0.8,,,0.6,0,1,42,25.16,34.95,29.17,32.24,27.21,5.74,5,5.18,4.87,5.12
90,574,3,,121,14,50,73.42799189,0.069897,134,47.71556273,6.9,0.4,236,0.9,6,76,0.3,0,0,15,25.88,29.24,27.41,28.32,25.41,5.71,4.98,5.07,5.39,5.4
91,574,4,,224,10,105,74.71867967,0.093899782,132,,9.6,0.8,106,0.7,8,80,5.8,0,0,19,33.84,23.53,27.21,26.46,24.6,5.86,4.44,5.58,4.98,4.71
92,658,1,,207,60,135,80.50216987,0.111111111,131,37.83228143,9.3,0.8,51,1,16,77,4.3,0,0,59,27,24,20,21,16,4,4.5,3.5,3,3
93,658,3,,,0,105,72.04450626,,,77.83926288,1,,107,2.6,0,0,1.555555556,,,0,,,,,,,,,,
94,658,4,,201,54,105,72.57617729,0.060205999,,32.97221505,9.1,1.1,80,2.9,5,57,4,0,3,75,25.43,21.05,22.92,20.59,17.67,4.12,4.25,4.77,4.58,3.78
95,658,5,,205,27,170,71.11111111,0.119909027,135,39.88817483,1.6,,146,3.5,5,59,6.1,5,0,27,23.9,22.4,19.6,20,19.2,4,4.1,3.9,4.1,3.6
96,658,5,2,219,15,105,74.68879668,0.054406804,135,53.35585343,4,,91,2.3,2,53,4.9,0,0,14,23.9,23,20.1,23,16.8,3.9,3.2,2.1,3.9,3
